"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1555","Check displaying of empty courses list","LMS system","2026-09-01","passed","2026-09-01","Courses","Courses","",""
"","0","test_regression_case","tests.pytest","2026-09-01","passed","2026-09-01","","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-09-01","passed","2026-09-01","TestUserAuthentication","test_markers","",""
"","2582","Create course","LMS system","2026-09-01","passed","2026-09-01","Courses","Courses","",""
"","1748","User login with wrong email or password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","1889","User login with wrong email or password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","3087","Edit course","LMS system","2026-09-01","passed","2026-09-01","Courses","Courses","",""
"","1570","Check displaying of empty courses list","LMS system","2026-09-01","passed","2026-09-01","Courses","Courses","",""
"","2096","Registration with correct email, username and password","LMS system","2026-09-01","passed","2026-09-01","Registration","Authentication","",""
"","0","test_critical_login","tests.pytest","2026-09-01","passed","2026-09-01","","test_markers","",""
"","2311","Create course","LMS system","2026-09-01","passed","2026-09-01","Courses","Courses","",""
"","1950","User login with wrong email or password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","1989","Check displaying of dashboard page","LMS system","2026-09-01","passed","2026-09-01","Dashboard","Dashboard","",""
"","0","test_login","tests.pytest","2026-09-01","passed","2026-09-01","TestUserAuthentication","test_markers","",""
"","1803","User login with wrong email or password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","1920","Check displaying of dashboard page","LMS system","2026-09-01","passed","2026-09-01","Dashboard","Dashboard","",""
"","1422","User login with wrong email or password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","3089","User login with correct email and password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","2813","Edit course","LMS system","2026-09-01","passed","2026-09-01","Courses","Courses","",""
"","2774","User login with correct email and password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","1444","Navigation from login page to registration page","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-09-01","passed","2026-09-01","TestUserAuthentication","test_markers","",""
"","1456","User login with wrong email or password","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","1801","Registration with correct email, username and password","LMS system","2026-09-01","passed","2026-09-01","Registration","Authentication","",""
"","1750","Navigation from login page to registration page","LMS system","2026-09-01","passed","2026-09-01","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-01","passed","2026-09-01","TestUserInterface","test_markers","",""
